adm3_pcode,adm3_name,adm2_name,adm1_name,total_population,populated_hex_count,total_area_km2,populated_area_km2,arithmetic_density,physiographic_density
MMR010019,Natogyi,Myingyan,Mandalay,169402.0,882,1256.3138,737.5133,134.8405,229.6935
MMR010020,Kyaukpadaung,Nyaung-U,Mandalay,255386.0,1062,1959.975,893.9804,130.3006,285.6729
MMR010021,Ngazun,Myingyan,Mandalay,121773.0,558,962.2751,464.8626,126.547,261.9548
MMR010022,Nyaung-U,Nyaung-U,Mandalay,240683.0,826,1463.8702,693.8072,164.4155,346.9019
MMR010023,Yamethin,Yamethin,Mandalay,258194.0,973,2151.645,821.6992,119.9984,314.2196
MMR010024,Pyawbwe,Yamethin,Mandalay,260329.0,855,1648.5099,720.7222,157.9178,361.2057
MMR010028,Meiktila,Meiktila,Mandalay,294157.0,830,1229.2382,698.2365,239.3002,421.2856
MMR010029,Mahlaing,Meiktila,Mandalay,140967.0,748,1122.9735,627.6893,125.5301,224.5808
MMR010030,Thazi,Meiktila,Mandalay,196193.0,652,2041.506,548.1792,96.1021,357.8994
MMR010031,Wundwin,Meiktila,Mandalay,228453.0,730,1395.4013,611.9088,163.7185,373.3448
MMR011001,Mawlamyine,Mawlamyine,Mon,219507.0,100,155.6075,86.8198,1410.6457,2528.3062
MMR011002,Kyaikmaraw,Mawlamyine,Mon,139823.0,778,1309.2015,675.6654,106.8002,206.9412
